strain	year	country	state	rflp	lineage
DQ477400|PRRSV0003303|1998|USA|1-4-2|L9E	1998	USA		1-4-2	L9E
DQ477417|PRRSV0003325|1998|USA_MN|1-4-2|L9E	1998	USA	MN	1-4-2	L9E
DQ477494|PRRSV0003423|1998|USA|1-4-1|L9E	1998	USA		1-4-1	L9E
DQ477506|PRRSV0003442|1998|USA_OK|1-4-2|L9E	1998	USA	OK	1-4-2	L9E
EU755866|PRRSV0000003255|1998|USA_OK|1-4-2|L9E	1998	USA	OK	1-4-2	L9E
EU755876|PRRSV0000003280|1998|USA_SD|1-3-2|L9E	1998	USA	SD	1-3-2	L9E
KU131563|SD98-163-P83|1998|USA|1-4-2|L9E	1998	USA		1-4-2	L9E
DQ477563|PRRSV0003509|1999|USA|1-4-2|L9E	1999	USA		1-4-2	L9E
EU755490|PRRSV0000000997|2001|USA_MN|1-4-2|L9E	2001	USA	MN	1-4-2	L9E
DQ475730|PRRSV0001209|2002|USA_MN|1-4-2|L9E	2002	USA	MN	1-4-2	L9E
DQ475966|PRRSV0001511|2002|USA_MN|1-4-2|L9E	2002	USA	MN	1-4-2	L9E
DQ476133|PRRSV0001712|2003|USA_MN|1-4-2|L9E	2003	USA	MN	1-4-2	L9E
EU755612|PRRSV0000001773|2003|USA_IA|1-4-2|L9E	2003	USA	IA	1-4-2	L9E
OR293981|USA/MI/24605-A/2003|2003|USA_MI|1-4-1|L9E	2003	USA	MI	1-4-1	L9E
EU759347|PRRSV2000000180|2007|USA_MN|1-4-2|L9E	2007	USA	MN	1-4-2	L9E
OR293982|USA/IA/43225/2013|2013|USA_IA|1-4-2|L9E	2013	USA	IA	1-4-2	L9E
JN002284|1AN10US|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JN002290|2AF10US|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JN002291|1JYN10US|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JN002294|RR10US|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JN002296|HUA10US|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JN002297|1AND10US|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JN002310|1PCN2S10US|2010|Thailand|1-2-4|L10	2010	Thailand		1-2-4	L10
JN255831|UD1210US/62-A04|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JQ040772|AF1108US|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JQ040775|AS12US7.71-D03|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JQ040780|AN06US4.20-1|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JQ040784|AG04US2.51-1|2010|Thailand|1-30-4|L10	2010	Thailand		1-30-4	L10
JQ040787|AS05US3.38-1|2010|Thailand|1-16-4|L10	2010	Thailand		1-16-4	L10
JN848639|KPS1_0111-9_US8/9-2_H07|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848645|MMR_F0211US11/14-F12|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848652|AND_0311_US9/6-A10|2011|Thailand|1-16-4|L10	2011	Thailand		1-16-4	L10
JN848655|AN_S0311_US10/51-B08|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848661|HUA_S0411_US10/59-F10|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848662|LA_S0411_US10/55-C10|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848665|HUA_0511_US11/22-B06|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848668|SR_S0511_US11/24-C06|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848679|CNY_H0711_US13/43-F08|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848690|STH_H0711_US13/32-A08|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848692|STH_S0711_US13/31-A10|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848693|STE_0711_US13/41-C08|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848707|SYA_H0711_US13/30-H09|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
JN848714|WTC_S0711_US13/33-B10|2011|Thailand|1-30-4|L10	2011	Thailand		1-30-4	L10
FJ972747|BI548-2000|2000|South Korea|1-5-2|L11	2000	South Korea		1-5-2	L11
FJ972751|BI827-2002|2002|South Korea|1-5-2|L11	2002	South Korea		1-5-2	L11
JQ656136|K05-0076|2005|South Korea|1-10-3|L11	2005	South Korea		1-10-3	L11
JQ656142|K05-0132|2005|South Korea|1-10-2|L11	2005	South Korea		1-10-2	L11
JQ656150|K05-0170|2005|South Korea|1-3-3|L11	2005	South Korea		1-3-3	L11
JQ656157|K05-0234|2005|South Korea|1-10-3|L11	2005	South Korea		1-10-3	L11
JQ656166|K05-0263|2005|South Korea|1-3-3|L11	2005	South Korea		1-3-3	L11
JQ656198|K06-0917|2006|South Korea|1-10-3|L11	2006	South Korea		1-10-3	L11
JQ656230|K06-1600|2006|South Korea|1-10-3|L11	2006	South Korea		1-10-3	L11
FJ972726|PS9-9-V-2007|2007|South Korea|1-1-2|L11	2007	South Korea		1-1-2	L11
FJ972730|MG-1-2007|2007|South Korea|1-3-4|L11	2007	South Korea		1-3-4	L11
JQ656239|K07-0487|2007|South Korea|1-10-4|L11	2007	South Korea		1-10-4	L11
FJ972716|3922-5-V-2008|2008|South Korea|1-10-3|L11	2008	South Korea		1-10-3	L11
JQ656267|K08-1073|2008|South Korea|1-3-1|L11	2008	South Korea		1-3-1	L11
JN809805|e417-2|2009|South Korea|1-3-3|L11	2009	South Korea		1-3-3	L11
JQ656285|K09-1261|2009|South Korea|1-3-4|L11	2009	South Korea		1-3-4	L11
KR154356|K13-017|2013|South Korea|1-3-3|L11	2013	South Korea		1-3-3	L11
KY996353|KU-N1303|2013|South Korea|1-3-4|L11	2013	South Korea		1-3-4	L11
KR154365|K14-042|2014|South Korea|1-10-3|L11	2014	South Korea		1-10-3	L11
KR154424|K14-215|2014|South Korea|1-10-3|L11	2014	South Korea		1-10-3	L11
KU666107|K14-2-N16-GH|2014|South Korea|1-4-3|L11	2014	South Korea		1-4-3	L11
KU666122|K14-2-N31-GH|2014|South Korea|1-4-3|L11	2014	South Korea		1-4-3	L11
KY996360|KU-N1501|2015|South Korea|1-6-4|L11	2015	South Korea		1-6-4	L11
MK057530|KU-N1606|2016|South Korea|1-3-3|L11	2016	South Korea		1-3-3	L11
